Feature,Importance
Store,0.6638263159973206
CPI,0.2113273350705803
Unemployment,0.07840628124656739
Temperature,0.0151025429481388
Fuel_Price,0.014296150031287123
Month,0.014284173210466955
Holiday_Flag,0.0018977294649711967
Year,0.0008594720306677524
Weekday,0.0
